Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Improving MOOC quality using learning analytics and tools,J. S. Cross; N. Keerativoranan; M. K. J. Carlon; Y. H. Tan; Z. Rakhimberdina; H. Mori,"Tokyo Intitute of Technology,Online Education Development Office,Tokyo,Japan; Tokyo Institute of Technology,Department of Transdisciplinary,Tokyo,Japan; Tokyo Institute of Technology,Department of Transdisciplinary, Science and Engineering,Tokyo,Japan; Tokyo Institute of Technology,Department of Transdisciplinary, Science and Engineering,Tokyo,Japan; Tokyo Institute of Technology,Department of Computer Science,Tokyo,Japan; Tokyo Intitute of Technology,Online Education Development Office,Tokyo,Japan",2019 IEEE Learning With MOOCS (LWMOOCS),27-Dec-19,2019,,,174,179,"Assessing the quality of MOOCs is an important issue for learners since learners are paying fees for accessing the content (e.g. graded assignments), certificates of completion and for course credit. One of the unique advantages of online courses is that all the content can be assessed and analyzed even before the courses are released using various learning analytical and natural language processing tools. However, to date there are few studies in the literature published on the analysis of MOOC content. Furthermore, MOOC providers expect the course developers to periodically revise their MOOCs. Various types of analysis that can be done on the course text, video transcripts and assessments such as readability, listenability, videolytics, and text analysis. By analyzing the course content before its release, the content can be adjusted to target various learners. Subsequently, the same techniques can be used to analyze the discussion board posts and post-course survey to identify areas in a course that need to be modified in to order to improve the course quality for subsequent release. In this paper natural language processing and MOOC analytics were applied to several MOOCs to identify areas for revision to enhance their quality.",,978-1-7281-2549-7,10.1109/LWMOOCS47620.2019.8939617,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939617,natural language processing;learning analytics;word count;quality;MOOC;revision;readability;listenability,Computer aided instruction;Electronic learning;Tools;Crawlers;Microbiology;YouTube,computer aided instruction;educational courses;natural language processing;text analysis,MOOC quality;learning analytics;online courses;learning analytical language processing tools;natural language processing tools;course text;video transcripts;text analysis;course content;course quality;MOOC analytics;learning tools,,,,16,,27-Dec-19,,,IEEE,IEEE Conferences
MOOCs: Education for All– On Going Development in India,A. Jagetiya; R. K. Challa; G. Prashanthi,"Department of Information Technology, MLV Textile & Engineering College; CSE Department, National Institute of Technical Teachers Training and Research, Chandigarh, India; Department of Science & Humanities, MLR Institute of Technology, Hyderabad, 500043, India","2018 IEEE 6th International Conference on MOOCs, Innovation and Technology in Education (MITE)",27-Jun-19,2018,,,31,36,"It is evident, that the number of qualified teachers is less but the number of students willing to learn new technologies is increasing tremendously. Therefore, it is desired that alternative methods should be adopted to reduce the gap between the required number of qualified teachers and the actually available. As the technology is evolving rapidly, Massively Open Online Courses (MOOCs) appears to be an imminent concept which allows the students to use the IT infrastructure to learn while sitting at their home or workplace. MOOCs help the students to nurture problem-solving capabilities in them with the help of a plethora of online courses in diverse fields. Learners can choose courses of their interest and acquire a certificate of the same. This paper explores the concept and benefits of MOOCs in today's scenario, its advantages like freedom from geographic boundaries, flexibility, optimal cost, better educational outcomes. Further, this paper highlights challenges and limitations towards implementing MOOCs such as the dearth of infrastructure in developing countries, absence of proper assessment method, invalidity of such courses in conventional degree level programs, lack of practical sessions, and dropout rate. Significant developments in the field of MOOCs are ongoing in India under the banner of Ministry of Human Resource Development's project SWAYAM (Study Webs of Active-Learning for Young Aspiring Minds). Nature Journal survey has shown that India ranked second in the world to access MOOCs services. Indian Institute of Bombay and Indian Institute of Kharagpur started a program called T10KT (Train 10 Thousand (K) Teachers) to conduct large-scale teachers training and E-learning awareness program. This paper wraps up with some other developments implementing MOOCs in India with some pragmatic case studies.",,978-1-5386-5968-7,10.1109/MITE.2018.8747144,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8747144,MOOCs;e-contents;Coursera;Udacity;edX;Swayam;India,Electronic learning;Training;Technological innovation;Information technology;Tools,computer aided instruction;educational courses;teacher training,India;E-learning awareness program;human resource development;T10KT;MOOCs services;massively open online courses;IT infrastructure;problem-solving capability;SWAYAM;study webs of active-learning for young aspiring minds;teacher training,,,,36,,27-Jun-19,,,IEEE,IEEE Conferences
Who are Interested in Open Education? An Analysis of the Participants in the First MOOC of the IEEE Education Society,R. Cabedo; E. Tovar; S. Martín; M. Llamas; M. Caeiro; O. Martínez; R. Strachan; M. Castro; S. Reisman,"Dept. of Comput. Languages & Syst. & Software Eng., Tech. Univ. of Madrid, Madrid, Spain; Dept. of Comput. Languages & Syst. & Software Eng., Tech. Univ. of Madrid, Madrid, Spain; Dept. of Electr., Electron. & Control Eng., Nat. Distance Educ. Univ. Madrid, Madrid, Spain; Dept. of Telematic Eng., Univ. of Vigo, Vigo, Spain; Dept. of Stat., Math. & Comput. Sci., Miguel Hernandez Univ., Elche, Spain; Dept. of Stat., Math. & Comput. Sci., Miguel Hernandez Univ., Elche, Spain; Dept. of Comput. & Inf. Sci., Northumbria Univ. Newcastle, Newcastle upon Tyne, UK; Dept. of Electr. & Comput. Eng., Nat. Distance Educ. Univ., Madrid, Spain; Chancellor California State Univ., Long Beach, CA, USA",2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),22-Jun-18,2018,2,,310,314,"This paper performs a preliminary analysis of the first MOOC of the IEEE Education Society, an IEEE Free Online Course on Open Education and Open Educational Resources (OER) Repositories. The MOOC ""Foundations to Open Education and OERs repositories"" is based on providing a comprehensive understanding both of Open Education and OERs, as well as the way they are changing the educational environment. The selection of participants' features from the MOOCKnowledge data collection mainly focuses on socio-demographic issues, previous experiences with MOOCs, usefulness of the MOOC to the participants' professional, personal and academic spheres, and types of student interaction. The preliminary results show that additional efforts are needed in order to boost the enrolment of both females and people with low level of completed studies, as well as increasing the level of awareness regarding certification. The results also reveal a positive impact of the course on the participants' professional and personal spheres. Finally, the most relevant interaction for them is the learner-content interaction. On the basis of these results it can be concluded that this MOOC offers an opportunity for practitioners to take advantage of the Open Education philosophy and its subsequent application to their everyday educational environment.",0730-3157,978-1-5386-2667-2,10.1109/COMPSAC.2018.10248,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377876,"open education, open educational resources, OER, OER repositories, MOOC",Electronic mail;Certification;Europe;Open Educational Resources;Employment;Videos,computer aided instruction;educational courses,MOOC Foundations;educational environment;open education philosophy;IEEE education society;IEEE free online course;OER repositories;MOOC Knowledge data collection;socio-demographic issues;open educational resources repositories;student interaction;awareness regarding certification;participants professional spheres;participants personal spheres;learner-content interaction;participants academic spheres,,,,6,,22-Jun-18,,,IEEE,IEEE Conferences
Profiles and Motivations of Participants in Greek MOOC for Python Programming,G. Psathas; P. Chalki; S. Demetriadis; A. Tsiara,"Aristotle University, School of Informatics, Thessaloniki, Greece; Department of Primary Education, The University of Ioannina, Ioannina, Greece; Aristotle University, School of Informatics, Thessaloniki, Greece; Department of Primary Education, The University of Ioannina, Ioannina, Greece",2018 Learning With MOOCS (LWMOOCS),15-Nov-18,2018,,,70,73,"This paper presents data about learners' preferences, background and learning behavior in “Introduction to programming with Python” MOOC, offered in Autumn 2017. After the 6-week duration of the course, data collected through questionnaire and the MOOC's platform log files. The results showed that learners taking part in such MOOCs hold at least a Bachelor's or a Master's degree, and their age is between 26 and 45. The course's certificate acts as a motivational factor for learners to finish the course, and also as participation in activities forecast. It has also been observed that the most prominent reason for learners to participate in the MOOC was their current or future working career development.",,978-1-5386-6533-6,10.1109/LWMOOCS.2018.8534636,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8534636,Massive Open Online Courses;MOOCs;Python;Programming,Python;Programming profession;Informatics;Certification,certification;computer aided instruction;computer science education;continuing professional development;educational courses;human resource management;Python,Python programming;motivational factor;greek MOOC;Masters degree;working career development;learners preferences,,,,15,,15-Nov-18,,,IEEE,IEEE Conferences
Dropout Detection in MOOCs: An Exploratory Analysis,C. Isidro; R. M. Carro; A. Ortigosa,"Computer Science Department, Universidad Autonoma de Madrid, Madrid, Spain; Computer Science Department, Universidad Autonoma de Madrid, Madrid, Spain; Computer Science Department, Universidad Autonoma de Madrid, Madrid, Spain",2018 International Symposium on Computers in Education (SIIE),23-Dec-18,2018,,,1,6,"The presence of MOOCs has increased exponentially in the context of distance education. However, many students who enroll in this type of courses drop out before completion. Several circumstances may cause dropout at any stage of the course and, in any case, before getting the certificate. Some students are not able to follow the course, others fail in the exams and leave, others only aim at getting a general overview of the course contents, others take all the activities but the final test, because of being interested in gaining knowledge but not in obtaining the certificate, etc. For this reason, it is interesting to analyze and understand the behavior of each student while interacting with the course. In this direction, the goal of this work is to predict whether a student will abandon a MOOC before completing it, so that it is possible to intervene accordingly, by warning the teacher about the dropout risk, notifying the student about this risk, etc. Different machine learning techniques have been tested with real data of a MOOC supported by EdX at UAM. In this article, the results of the work carried out in this direction are presented.",,978-1-5386-6505-3,10.1109/SIIE.2018.8586748,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8586748,Learning analytics;MOOCs;machine learning,Predictive models;Videos;Machine learning algorithms;Data analysis;Computer science;Education,computer aided instruction;distance learning;educational courses;learning (artificial intelligence),MOOC;distance education;course contents;dropout risk;dropout detection;machine learning techniques,,3,,17,,23-Dec-18,,,IEEE,IEEE Conferences
Automatic generation of assessment objects and Remedial Works for MOOCs,S. Miranda; G. R. Mangione; F. Orciuoli; M. Gaeta; V. Loia,"DIEM, Dept. of Information Eng., Electrical Eng. and Applied Mathematics, University of Salerno, Via Giovanni Paolo II, 132, I 84084 Fisciano (SA), Italy; DIEM, Dept. of Information Eng., Electrical Eng. and Applied Mathematics, University of Salerno, Via Giovanni Paolo II, 132, I 84084 Fisciano (SA), Italy; DIEM, Dept. of Information Eng., Electrical Eng. and Applied Mathematics, University of Salerno, Via Giovanni Paolo II, 132, I 84084 Fisciano (SA), Italy; DIEM, Dept. of Information Eng., Electrical Eng. and Applied Mathematics, University of Salerno, Via Giovanni Paolo II, 132, I 84084 Fisciano (SA), Italy; DI, Dept. of Computer Science, CORISA, University of Salerno, Via Giovanni Paolo II, 132, I 84084 Fisciano (SA), Italy",2013 12th International Conference on Information Technology Based Higher Education and Training (ITHET),21-Nov-13,2013,,,1,8,"In the MOOC environments, the students feel to be alone in the process of choosing courses leading to their learning needs and work objectives. They perceive also to be controllers of their progresses with respect to calendars, fruition, assessment results. Students come into the MOOC environments to develop or enhance professional competences, to earn formative credits and to achieve certifications to get more employment opportunities, but the statistics underline high level of drop-out and few released useful credits and final certifications. These problems are mainly related to the difficulty to guarantee the “teaching presence” in courses with thousands of learners having different background and to the ineffective assessment methods for a meaningful learning process looking at the objectives and giving feedbacks for individual learning paths construction. The work, in particular, exploits the adaptation and personalization features of IWT platform in order to provide ARWE (Adaptive Remedial Work Environment) in order to fill the lack of a one-to-one tutoring mitigating the drop-out problem in MOOCs. The main original contribution of this work concerns the definition of an approach to automatically generate quizzes, exploiting a semantic-based method, in order to populate the e-Testing tool existing in ARWE, decreasing, de facto, the effort for instructors in the assessment authoring phase.",,978-1-4799-0086-2,10.1109/ITHET.2013.6671018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671018,assessment;ontology;semantic web;MOOC,Ontologies;Taxonomy;Educational institutions;Materials;Semantics;Certification,computer aided instruction;educational courses,automatic generation;assessment objects;remedial works;MOOC environments;professional competences;formative credits;teaching presence;learning process;adaptive remedial work environment;authoring phase assessment;massive open online courses,,22,,48,,21-Nov-13,,,IEEE,IEEE Conferences
Place and role of K-MOOC in Hungarian and Trans-border Education,I. Simonics,"Trefort Ágoston Centre for EngineeringEducation, Óbuda University, Budapest, Hungary",2019 IEEE Global Engineering Education Conference (EDUCON),30-May-19,2019,,,289,295,Our University established Carpathian Basin Online Educational Centre: K-MOOC - abbreviation is according to the Hungarian name: Kárpát-Medencei Online Oktatási Centrum - to start Hungarian language online courses for people living in Carpathian Basin and all over the World speaking Hungarian. K-MOOC provides online courses with credit points or Certificate for students of Hungarian speaking Higher Education Institutes (HEI) and Life Long Learning as well. Members of this Network are Hungarian or Trans-border Hungarian speaking HEIs. These equal members are elaborating online eLearning courses as a free of charge service and their students can join this courses provided by any member of Network. The partner institutes recognize the credit points received by their students according to the European Credit Transfer System and rules accepted by partner HEIs. The paper summarizes the results and successful story of K-MOOC.,2165-9567,978-1-5386-9506-7,10.1109/EDUCON.2019.8725102,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725102,MOOC;Higher Education;European Credit Transfer System;eLearning,Training;Electronic learning;Engineering education;Conferences;Continuing professional development;Art,computer aided instruction;educational courses;educational institutions;further education,Trans-border Education;Carpathian Basin Online Educational Centre;K-MOOC - abbreviation;Hungarian language;HEI;Kqrpat-Medencei Online Oktatasi Centrum;university;online educational centre;higher education institutes;online eLearning courses;European credit transfer system,,,,10,,30-May-19,,,IEEE,IEEE Conferences
Leveraging Linked Data to Propel Competency-Based Education Based on Labour Skills,S. Nahhas; O. Bamasag; M. Khemakhem; N. Bajnaid,"CS. faculty of computing and information technology, KAU, Jeddah, Saudi Arabia; CS. faculty of computing and information technology, KAU, Jeddah, Saudi Arabia; CS. faculty of computing and information technology, KAU, Jeddah, Saudi Arabia; CS. faculty of computing and information technology, KAU, Jeddah, Saudi Arabia",2019 2nd International Conference on Computer Applications & Information Security (ICCAIS),25-Jul-19,2019,,,1,6,"Recently, there is a debate on the credentials that is more important for the individuals; their education and certificates or their competences and skills. Competency-based education (CBE) is a paradigm that can combine the both benefits. Linked data technology has potentials that help education to be more oriented towards CBE by linking the education with competences fields such as labour. However, that needs the education courses to be updated according to labours' demands which require lifelong learning to make individuals kept up with the emerging competences and technologies. CBE and lifelong learning are related to open education such as OCWs, MOOCs and OERs; since MOOCs for example give the chance to learn from the industry leaders which is very effective for CBE and can be acquired anytime. Also, open education is more responsive to the emerging demands of labour. Based on that, traditional universities have a possibility to update their courses based on the CBE rather than starting from scratch. Therefore, making mutual integration between traditional and open education courses based on labours' competences can offer an opportunity to go towards CBE. In this paper we propose a novel approach to refine education courses to be more oriented towards CBE by this mutuality integration. Input to this approach is the course information and the output is lists of candidate competences concepts that a course designer can use to refine current courses' topics and learning outcomes based on labour skills. Also developing a new metrics is suggested based on conducting some statistics to measure the importance of the concept regarding the CBE and measure how much the whole course is related to the labour needs. Lastly, developing a bridged model based on the competences concepts to be as anchors is suggested to provide links to the related OERs and related courses from MOOCS/OCWs.",,978-1-7281-0108-8,10.1109/CAIS.2019.8769503,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8769503,competency-based education;linked data;open education;MOOC;OCW;OER,Linked data;Data models;Education courses;Ontologies;Knowledge based systems;Industries,computer aided instruction;educational courses;educational institutions,labour skills;CBE;competency-based education;linked data technology;lifelong learning;open education course;certificates;OCW;MOOC;OER;universities,,,,12,,25-Jul-19,,,IEEE,IEEE Conferences
"Students Profiles and their Behavior in MOOC Platforms, MIRIADAX Platform",P. Mareca; B. Bordel,"Grupo de Caos en Circuitos Electrónicos (Departamento de Electrónica Física), Universidad Politécnica de Madrid, Madrid, España; Grupo de Caos en Circuitos Electrónicos (Departamento de Electrónica Física), Universidad Politécnica de Madrid, Madrid, España",2019 14th Iberian Conference on Information Systems and Technologies (CISTI),15-Jul-19,2019,,,1,6,"Massive Online Open Courses (MOOC) have revolutionized the relation between higher education institutions and society. Through web platforms, universities and other institutions offer content and courses where any student can enroll. With this new approach, much knowledge that previously was only accessible to official students paying, in general, expensive fees, is now accessible to any citizen for free. In addition, institutions of higher education usually grant a certificate to students who passed the course. However, this divulgative and massive open approach also creates some distortions. In particular, the management of MOOC courses is a task of extreme complexity, due to the mixture of a large number of very different student profiles, and the combination of nonaligned interests. As a consequence, the dropout rate in these courses is higher than 70% in most courses. In any case, before proposing any solution, it is necessary to analyze and study the current situation in a systematic and scientific way. Therefore, this article describes an experience carried out jointly by professors from the Universidad Politécnica de Madrid (UPM, Spain) and the University of Tras os Montes e Alto Douro (Portugal), based on the creation and teaching of a MOOC course focused on domotics and Arduino technologies, accessible on the MiriadaX platform. This study focuses on the academic results obtained, and the different profiles of students that have been identified in the 2018 academic year.",2166-0727,978-9-8998-4349-3,10.23919/CISTI.2019.8760696,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8760696,MOOC;MiriadaX platform;Students' profile;Arduino;Domotics;Higher eduation;Online education,Internet;Information systems;Monitoring;Electronic learning;Silicon compounds;Software,computer aided instruction;educational administrative data processing;educational courses;educational institutions;further education;Internet,MOOC course;MiriadaX platform;higher education institutions;student profiles;massive online open courses;Web platforms;student behavior;universities;Universidad Politécnica de Madrid;University of Tras os Montes e Alto Douro;domotics technologies;Arduino technologies,,,,,,15-Jul-19,,,IEEE,IEEE Conferences
English Teaching Model Research Based on Network MOOC,L. Liu,"Wuhan Huaxia Univ. of Technol., Wuhan, China",2016 International Conference on Smart City and Systems Engineering (ICSCSE),19-Jan-17,2016,,,183,186,"English teaching platform is established based on the MOOC with the focus on learning database construction for the non-English major students in colleges. The platform could be divided into five systems such as independent learning system, resource management system, teaching management system, evaluation feedback system and certification system. This model focused on study and online autonomous learning function. The experimental results prove the validity and feasibility of teaching model based on network MOOC. The proposed teaching model would help to enhance the students' learning enthusiasm and improve their English practical ability if it is applied in English teaching properly.",,978-1-5090-5530-2,10.1109/ICSCSE.2016.0058,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7825071,English teaching model;MOOC;autonomous learning,Testing;Modeling;Resource management;Certification;Online services;Learning systems,courseware;learning management systems;linguistics;resource allocation;teaching,English teaching model research;network MOOC;learning database construction;nonEnglish major students;independent learning system;resource management system;teaching management system;evaluation feedback system;certification system;online autonomous learning function;students learning enthusiasm;English practical ability improvement,,1,,11,,19-Jan-17,,,IEEE,IEEE Conferences
A MOOC with an e-lab remotely controlled experiment: student behaviour analysis,R. Cardoso; M. Santos; H. Fernandes; V. Negîrneac; A. M. Santos,"Physics Department, Instituto Superior Técnico, Lisbon, Portugal; Physics Department, Instituto Superior Técnico, Lisbon, Portugal; Physics Department, Instituto Superior Técnico, Lisbon, Portugal; MOOC Ténico, Instituto Superior Técnico, Lisbon, Portugal; MOOC Ténico, Instituto Superior Técnico, Lisbon, Portugal",2019 5th Experiment International Conference (exp.at'19),21-Oct-19,2019,,,52,57,"A careful analysis regarding the characteristics and behaviours of the participants enrolled in the MOOC ""Experimental Physics: Electromagnetism"" was performed. This MOOC Técnico course related to electromagnetism differs from the remaining courses because it includes a strong laboratorial component which challenges students to understand and analyse experimental data collected during the course. With the present analysis, we intended to study the participants' background, understand what they aim to achieve by enrolling the course and how the nature of its contents and activities affects their overall success. In more detail, we determined how the inclusion of activities such as hands-on experiments, operation of remote laboratories and open questions with peer review evaluations affect the dropout rates and the evaluations obtained by the students. This information is crucial to tailor the course to the student's needs, ultimately improving the course quality and the student's learning experience. To achieve this, data regarding the students characteristics and the number of active participants for the different course stages was collected. The results showed a large participation of people from outside the Técnico Lisboa (IST) community (enrolled students, teachers, researchers, staff, alumni) and a high variety of academic paths inside it. These also made clear that a considerable amount of the enrolled participants dropped out of the course as soon as the proposed tasks became more demanding. However, the remaining students continued committed and completed the following exercises, independently of their nature or complexity. These students were mostly able to complete the course with a good final evaluation and receive the final certificate.",,978-1-7281-3637-0,10.1109/EXPAT.2019.8876472,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8876472,MOOC;MOOL;remote;experiment;education;behaviour,Videos;Education;Uncertainty;Atmospheric measurements;Particle measurements;Physics;Measurement uncertainty,computer aided instruction;distance learning;educational courses;educational institutions;laboratory techniques;physics computing;physics education,e-lab remotely controlled experiment;student behaviour analysis;MOOC Experimental Physics;MOOC Técnico course;electromagnetism differs;experimental data analysis;hands-on experiments;remote laboratories;course quality;students characteristics;Técnico Lisboa community,,,,11,,21-Oct-19,,,IEEE,IEEE Conferences
Research on Behavior Patterns of School Administrators in the MOOC of ICT Leadership,X. Zhao; S. Shen,"Nanjing Normal University, China; Nanjing Normal University, China",2019 Twelfth International Conference on Ubi-Media Computing (Ubi-Media),30-Mar-20,2019,,,301,305,"ICT leadership of the school administrators is an important factor which would affect the school ICT development. However, theoretical research on ICT leadership training has been not common. Based on MOOC platform, this paper designed an ICT leadership online course, and discussed the learning behavior patterns of administrators in the course of learning the course. Besides, the learning behavior data generated in the MOOC platform was analyzed by content analysis and lag sequence analysis. This study found that the behavior of learning course content was the main learning behavior of learners, but this behavior had no significant relationship with other behaviors. Learners could actively participate in discussion in the forum, but the interaction was largely for the purpose of getting good grades. Active learners were always able to participate in unit tests repeatedly, submitted homework on time and carried out peer reviews, so as to obtain the certificate.",,978-1-7281-2820-7,10.1109/Ubi-Media.2019.00066,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9049595,"ICT leadership, MOOC, learning behavior patterns, School Administrators",Leadership;Standards;Sequences;Planning;Training;Information and communication technology,computer aided instruction;data analysis;educational courses;educational institutions;human factors;technology management,MOOC platform;learning behavior patterns;learning behavior data;content analysis;lag sequence analysis;course content;school administrators;school ICT development;ICT leadership training,,,,12,,30-Mar-20,,,IEEE,IEEE Conferences
Bibliometric Analysis of MOOC using Bibliometrix Package of R,Ramneet; D. Gupta; M. Madhukar,"Chitkara University,Chitkara University Institute of Engineering and Technology,Punjab,India; Chitkara University,Chitkara University Institute of Engineering and Technology,Punjab,India; IBM India Private Limited,Program Manager University Relations,Greater Noida,India",2020 IEEE International Women in Engineering (WIE) Conference on Electrical and Computer Engineering (WIECON-ECE),12-Apr-21,2020,,,157,161,"As a growing academic approach, MOOCs have gained widespread attention through academic courses. There are many MOOC platforms available like Udemy, Udacity, Coursera, Swayam, Khan Academy and EdX. All these platforms provide free as well as paid courses. These types of certifications help in boosting the career of the learners. A strong recommendation system is the need of the day for these types of platforms that will guide learners in selecting the appropriate course according to their levels. In this paper, 1511 journal articles have been selected through the Scopus database from 2012 to 2020. This study uses a bibliometric analysis method to visualize the knowledge network analysis with the help of the Biblioshiny tool of R software.",,978-1-6654-1917-8,10.1109/WIECON-ECE52138.2020.9397952,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9397952,MOOC;MOOCS;E-learning;Artificial Intelligence;Machine Learning,Knowledge engineering;Computer aided instruction;Electronic learning;Databases;Bibliometrics;Tools;Software,computer aided instruction;educational courses;information analysis;knowledge management,bibliometrix package;growing academic approach;academic courses;MOOC platforms;Udemy;Udacity;Coursera;Swayam;paid courses;career;strong recommendation system;appropriate course;journal articles;bibliometric analysis method;knowledge network analysis,,,,18,,12-Apr-21,,,IEEE,IEEE Conferences
Blockchain Education Smart Courses of Massive Online Open Course Using Business Model Canvas,F. P. Oganda; N. Lutfiani; Q. Aini; U. Rahardja; A. Faturahman,"Information System University of Raharja,Tangerang,Indonesia; Information System University of Raharja,Tangerang,Indonesia; Information System University of Raharja,Tangerang,Indonesia; Information System University of Raharja,Tangerang,Indonesia; Information System University of Raharja,Tangerang,Indonesia",2020 2nd International Conference on Cybernetics and Intelligent System (ICORIS),18-Jan-21,2020,,,1,6,"With the development of internet technology, online education, a new model of education, has been very popular. However, this mode of education still has many problems in terms of credibility, credit certification and certificates, student privacy, and various courses. The accepted question addressed was whether universities would discuss blockchain technology differently from traditional research and education. Through a research approach, literature summary and case analysis as well as Business Model Canvas which provides three theoretical contributions and guidance on what Blockchain is by taking sponsored studies. This study shows the results that integrating blockchain technology with the MOOC-based Smart Program Education platform is a trend that is promised on the Internet of online education development. The conclusion can provide a critique of the technical features and basic applications of Blockchain and provide solutions to online education problems based on Blockchain technology. Assistance, discussion, discussion on blockchain and discussion on how educational institutions work must be approved by Blockchain technology as digital technology, so that more can be expected in prototypes and will be developed to provide a better replacement.",,978-1-7281-7257-6,10.1109/ICORIS50180.2020.9320789,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320789,Ontology;MOOC;Blockchain;Smart-courses;Business Model Canvas;Online Course,Blockchain;Education;Electronic learning;Computer aided instruction;Technological innovation;Information systems;Regulation,blockchains;computer aided instruction;educational courses;educational institutions;Internet,massive online open course;business model canvas;Internet technology;credit certification;online education development;educational institutions;digital technology;blockchain education smart courses;smart program education platform;MOOC,,,,29,,18-Jan-21,,,IEEE,IEEE Conferences
Joint Exploration of Negative Academic Emotion and Topics in Student-Generated Online Course Comments,Z. Liu; C. Yang; X. Peng; J. Sun; S. Liu,"Nat. Eng. Lab. for Educ. Big Data, Central China Normal Univ., Wuhan, China; Nat. Eng. Lab. for Educ. Big Data, Central China Normal Univ., Wuhan, China; Nat. Eng. Lab. for Educ. Big Data, Central China Normal Univ., Wuhan, China; Nat. Eng. Lab. for Educ. Big Data, Central China Normal Univ., Wuhan, China; Nat. Eng. Lab. for Educ. Big Data, Central China Normal Univ., Wuhan, China",2017 International Conference of Educational Innovation through Technology (EITT),12-Mar-18,2017,,,89,93,"Currently, with the increasing advancement of interactive learning technologies in MOOCs, a large number of student-generated comments (SGCs) have been substantially produced with two primary emotions (positive and negative). The emotional orientations are typically related with specific learning topics or aspects discussed, which is of value to offer abundant academic feedbacks for teachers and developers. Especially, the negative emotion and topics can be exploited to get an in-depth insight of the problems and barriers encountered by learners in online learning. However, it is challenging to capture relevant details from unstructured SGCs. In this paper, we propose a generative probabilistic model that extends Sentence-LDA (SLDA), namely Emotion Topic Joint Probabilistic Model (ETJM), to explore negative opinions in terms of pairs of which we call emo-topic. The model first automatically extracts the sentences with the high negative emotion density (NED), and then incorporates emotion and topic together to explore negative emotional feedbacks towards topics. The experimental results show that learners extended some negative comments towards the issues about learning content, online assignments and certificates of courses. The summarization of these issues can be given back to teachers to regulate and improve the teaching methods, strategies and design of learning contents.",,978-1-5386-0629-2,10.1109/EITT.2017.29,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308514,Negative Topics;Emotion Topic Joint Probabilistic Model (ETJM);student-generated comments (SGCs);sentiment analysis,Probabilistic logic;Analytical models;Education;Market research;Semantics;Correlation;Big Data,computer aided instruction;educational courses;human factors;interactive systems;Internet;probability;psychology;teaching,negative academic emotion;interactive learning technologies;primary emotions;emotional orientations;specific learning topics;online learning;unstructured SGCs;generative probabilistic model;Emotion Topic Joint Probabilistic Model;negative opinions;high negative emotion density;negative emotional feedbacks;negative comments;online assignments;learning contents;academic feedbacks;student-generated online course comments,,1,,14,,12-Mar-18,,,IEEE,IEEE Conferences
Welcome to LWMOOCS 2018,,,2018 Learning With MOOCS (LWMOOCS),15-Nov-18,2018,,,1,1,"Welcome to Madrid and the 2018 Learning with MOOCs conference. As President-Elect of the IEEE Education Society, I am excited that you have come together to talk about the challenges in delivering education to students across wide geographical areas and with potentially very diff erent backgrounds. Technology has changed the way information is gathered, presented, and delivered. While there is still a place for face-to-face instruction and mentorship, massively open online courses enable educators to change the lives of many people that may not be able to attend traditional educational institutions. And, MOOCs provide convenient continuing education to employees of multi-national corporations, professional certifi cations for career enhancement, and serve as an educational platform for many that simply want to broaden their knowledge in a non-formal setting.",,978-1-5386-6533-6,10.1109/LWMOOCS.2018.8534643,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8534643,,,,,,,,,,15-Nov-18,,,IEEE,IEEE Conferences
