source,Item type,Authors,Title,Publication year,Abstract,URLs,Proceedings title,Series,,,,
IEEE,IEEE Conferences,M. Sánchez,Assessing the quality of MOOC using ISO/IEC 25010,2016,"MOOC or Massive Open Online Course are a virtual training form present in the current educational landscape. Several authors raise doubts about whether these software products offer quality training, being necessary to establish instruments that certify their characteristics or guide how to approach optimization to ensure success and consolidation of this type of e-learning. This project proposes the construction of a software quality model or QM for MOOC, designed with the Individual Quality Model Construction or IQMC and the quality characteristics proposed in the catalog of ISO/IEC 25010. A set of sub characteristics, properties and quality measures will be established with the model, this QM will be an instrument or artifact to facilitate a systematic and practical evaluation with the selection of those characteristics that are considered relevant and consistent for scope and requirements of the evaluator, developer or end user.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7751803,2016 XI Latin American Conference on Learning Objects and Technology (LACLO),,,,,
IEEE,IEEE Conferences,Z. S. See; X. S. Lee; A. Brimo; H. Thwaites; L. Goodman,MOOC for AR VR Training,2018,"This paper provides a case study of massive open online course (MOOC) for augmented reality (AR) and virtual reality (VR). The research studies the obstacles, challenges and usability issues entailed in the management of a novel MOOC for AR and VR training. The electronic learning form of MOOC has been adapted and made available for a number of universities and organizations. It brings learning opportunities for university students and industrial professionals to go through online-based courses on their own pace, and some MOOCs provide certifications for specialized subjects. However, the nature of working on AR and VR requires specialized equipment such as mobile tablets with high computing capability, workstation with fast graphic processing units (GPU) and head-mount-devices (HMD). This case study investigation outlines an overview of the potential obstacles and issues with the intention of how MOOC addresses best practices and the fundamental requirements of AR and VR training.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516514,"2018 IEEE Games, Entertainment, Media Conference (GEM)",,,,,
IEEE,IEEE Conferences,D. E. Fatumo; S. Ngwenya,Online learning platforms and their roles in influencing pass rate in rural communities of South Africa: Massive Open Online Courses(MOOCs),2020,"Online learning is largely becoming an integral part of the modern teaching methods and it continues to gain its popularity due to the availability of free and open-source resources that make learning and teaching much more interactive than ever before. This paper presents findings obtained when conducting the effects of the use of MOOCs in fostering learning and teaching strategies in rural communities of South Africa. The survey research design of descriptive nature was adopted to evaluate the awareness and usage of Massive Open Online Course (MOOCs) in Alice community, Eastern Cape, South Africa. This study also employed a quantitative approach by using a self-structured questionnaire to evoke information from the respondents. We used the Statistical Package for Social Sciences (SPSS) to analyze the data collected. The study revealed, amongst others, the efficacy of MOOCs in fostering teaching and learning in marginalized rural areas. This study concludes that MOOCs is a veritable medium for busy or less privileged individual to acquire a degree or certification. Therefore, the study recommends MOOCs platform to be fully embraced by people in marginalized rural areas, awareness programs about its usefulness should be propagated across the municipalities nationwide.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9334135,2020 2nd International Multidisciplinary Information Technology and Engineering Conference (IMITEC),,,,,
IEEE,IEEE Conferences,T. Rohloff; K. von Schmieden; C. Meinel,Students’ Satisfaction of a Design Thinking MOOC with Personalized Learning Objectives,2020,"Due to their openness and low barriers to enroll, most Massive Open Online Courses (MOOCs) offer free access to knowledge for almost everyone. This attracts a large number of learners, each with their own individual intentions and motivations to join a course. However, personal support and guidance can almost never be provided at this scale. All learners have to follow the same usually weekly structured content and the learning success is only measured by the achievement of a certificate. To overcome this one-size-fits-all approach with technical means, we introduced a tool for Personalized Learning Objectives. This enables learners to achieve more individual objectives in courses, follow different learning paths, and link their motivations and intentions to the definition of learning success. Previous studies have already examined, among other aspects, the usefulness, acceptance, and achievement rates of learning objectives in MOOCs. In this complimentary research, the satisfaction of students with and without a selected learning objective is compared in a course on topics from the field of Design Thinking.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234349,2020 IEEE Learning With MOOCS (LWMOOCS),,,,,
IEEE,IEEE Conferences,M. Malchow; M. Bauer; C. Meinel,Embedded smart home — remote lab MOOC with optional real hardware experience for over 4000 students,2018,"MOOCs (Massive Open Online Courses) become more and more popular for learners of all ages to study further or to learn new subjects of interest. The purpose of this paper is to introduce a different MOOC course style. Typically, video content is shown teaching the student new information. After watching a video, self-test questions can be answered. Finally, the student answers weekly exams and final exams like the self-test questions. Out of the points that have been scored for weekly and final exams a certificate can be issued. Our approach extends the possibility to receive points for the final score with practical programming exercises on real hardware. It allows the student to do embedded programming by communicating over GPIO pins to control LEDs and measure sensor values. Additionally, they can visualize values on an embedded display using web technologies, which are an essential part of embedded and smart home devices to communicate with common APIs. Students have the opportunity to solve all tasks within the online remote lab and at home on the same kind of hardware. The evaluation of this MOOCs indicates the interesting design for students to learn an engineering technique with new technology approaches in an appropriate, modern, supporting and motivating way of teaching.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363353,2018 IEEE Global Engineering Education Conference (EDUCON),,,,,
IEEE,IEEE Conferences,D. H. Johnson; P. Prandoni; P. C. Pinto; M. Vetterli,Teaching signal processing online: A report from the trenches,2013,"After years of experimentation, online teaching has gone through a phase transition with the appearance of massive open online courses (MOOCs), following the model pioneered by Salman Khan with short videos and the use of tablets. Dozens of university-level courses are now available, and followed by hundreds of thousands of online students. We report on early experiences with teaching “Fundamentals of Electrical Engineering” and “Digital Signal Processing” on an open online platform (Coursera). We address in particular: (i) suitability of online platforms for signal processing oriented topics; (ii) structuring of material for the online format; (iii) quizzes and exercises for large classes; (iv) grading methods and possible certification issues; (v) learning from teaching, forums, and data mining of students feedback.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6639382,"2013 IEEE International Conference on Acoustics, Speech and Signal Processing",,,,,
IEEE,IEEE Conferences,R. Cobos; F. Jurado,An exploratory analysis on MOOCs retention and certification in two courses of different knowledge areas,2018,"The massive quantity of learners generating information related to Massive Open Online Courses (MOOCs) make researchers analyze large datasets about the learners' profile, interaction, satisfaction, etc. and these datasets can come from multiple data sources related to the same or different courses. This paper details the conducted exploratory analysis performed with data from two different MOOCs of different knowledge areas to check the factors that influence the learners' retention and certification. The preliminary results we obtained allow us to provide some conclusions with the aim to keep researching in order to generalize our achievements.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363434,2018 IEEE Global Engineering Education Conference (EDUCON),,,,,
IEEE,IEEE Conferences,M. Beckerle; A. Chatzopoulou; S. Fischer-Hübner,Towards Cybersecurity MOOC Certification,2021,"Especially during the COVID-19 crisis, MOOCs have become more important than ever, also for the cybersecurity domain. The certification of cybersecurity MOOCs could help promote quality aspects of MOOCs and enable their quality assessment and comparison. We conducted an online survey to analyse the role of cybersecurity MOOC certification based on proposed quality criteria for cybersecurity MOOCs and for MOOCs in general. Participants reported mixed experiences with MOOCs and largely agreed with our proposed quality criteria. This paper shows that there is a high acceptance and need for certification.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583719,2021 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),,,,,
IEEE,IEEE Conferences,,MOOC panel - Future educational challenges in computer engineering education: Will MOOCs be a threat or an opportunity?,2014,"Summary form only given, as follows. The MOOC (massively open online course) is said to be a ""game-changer"" by The New York Times. The major MOOC platforms are the non-profit edX, supported by a consortium of universities led by MIT and Harvard; and the for-profits Coursera, launched by Stanford professors Andrew Ng and Daphne Koller, and Udacity, launched by Sebastian Thrun. These online courses are massive in scale enrolling thousands of students limited only by the technology. They are openly available at zero cost. However, some courses charge a minimum fee for the certification. The course is available online and so can be accessed remotely if there is an internet connection. They help in decentralizing the education system. This creates an internet of education. It also helps to overcome the cultural and social barriers that hindered people from accessing education. MOOCs will allow people to educate themselves based on what they want to learn. It gives them a wide range of topics to choose and learn. They can take advantage of the growing computer awareness and IT penetration. MOOCs are already a big hit in rural communities and developing countries where people don't have as much access to traditional schools and colleges. MOOCs are causing a massive shift in the way people learn and access education. In spite of these advantages, they have their share of disadvantages too. The technology is unreliable. There is a lack of interest among the governments to initiate the institutional change. Also the pace of implementation is a grave concern. People worry that this could lead to a one-way transfer of educational materials from the rich countries to the poor countries will amount to a wave of ""intellectual neo-colonialism."" Also, language is a major barrier to have a global reach. The emphasis shifts from the teacher to the teaching material. Students have to digest the information and learn by themselves. They review the content in isolation and try to learn without access to peers or professors. This makes it difficult to stay motivated. Students are also missing the traditional face-to-face interactions. Lastly, schools and employers do not take MOOCs seriously. Therefore, there is a mixed response from the educators. Some see them as an opportunity and some see them as a threat.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7082826,2014 International Conference on Field-Programmable Technology (FPT),,,,,
IEEE,IEEE Conferences,M. Malchow; J. Renz; M. Bauer; C. Meinel,Embedded smart home — remote lab grading in a MOOC with over 6000 participants,2017,"The popularity of MOOCs has increased considerably in the last years. A typical MOOC course consists of video content, self tests after a video and homework, which is normally in multiple choice format. After solving this homeworks for every week of a MOOC, the final exam certificate can be issued when the student has reached a sufficient score. There are also some attempts to include practical tasks, such as programming, in MOOCs for grading. Nevertheless, until now there is no known possibility to teach embedded system programming in a MOOC course where the programming can be done in a remote lab and where grading of the tasks is additionally possible. This embedded programming includes communication over GPIO pins to control LEDs and measure sensor values. We started a MOOC course called ""Embedded Smart Home"" as a pilot to prove the concept to teach real hardware programming in a MOOC environment under real life MOOC conditions with over 6000 students. Furthermore, also students with real hardware have the possibility to program on their own real hardware and grade their results in the MOOC course. Finally, we evaluate our approach and analyze the student acceptance of this approach to offer a course on embedded programming. We also analyze the hardware usage and working time of students solving tasks to find out if real hardware programming is an advantage and motivating achievement to support students learning success.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934728,2017 Annual IEEE International Systems Conference (SysCon),,,,,
IEEE,IEEE Conferences,S. Murthy; J. M. Warriem; S. Sahasrabudhe; S. Iyer,"LCM: A Model for Planning, Designing and Conducting Learner-Centric MOOCs",2018,"MOOCs are expanding in popularity and scope, and several new courses are being designed and implemented in a variety of contexts. The discussion around MOOCs is growing too, however, much of that is centered around technological or certification-related issues. There are still not many advances in the pedagogical format, and many MOOCs end up being an online version of the traditional lecture format. At the same time, several problems have been reported, such as, lack of learner engagement, low participation in forums and low completion rates. To address these challenges, we present the Learner-Centric MOOC model: a prescriptive model consisting of a set of guidelines, activity formats and actions for MOOC creators. The LCM model guides instructors in conceptualizing, creating and conducting a MOOC, while maintaining a learner-centric pedagogical approach at its core. The LCM model consists of four structural elements: Learning Dialogs, Learning by Doing activities, Learning Experience Interaction and Learning Extension Trajectories, and Orchestration dynamics. In this paper, we describe the structural and dynamic aspects of the LCM model, show its application in various MOOCs and illustrate evaluation results from MOOCs based on LCM model.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8590110,2018 IEEE Tenth International Conference on Technology for Education (T4E),,,,,
IEEE,IEEE Conferences,J. J. Lohse; F. Altoe; J. Jose; A. M. Nowotarski; F. Rahman; R. C. Tuck; D. A. Joyner,The Search for the MOOC Credit Hour,2020,"Over the past decade, MOOCs have risen to prominence in part because most do not carry heavy requirements regarding accreditation, scope, and evaluation. While this has allowed MOOCs to proliferate, it has led to difficulty under-standing what completing a particular MOOC means. Individual MOOCs can vary tremendously in their quantity of content, their depth of assessment, and their mechanisms to ensure academic integrity. In order for MOOC credentials to have value in academia and the workplace, however, there must be some trust in what a particular credential means about the learner. In this work, we perform a study to understand the variety of MOOCs available, then pro¬pose a MOOC Content Matrix as a short, objective way to summarize what a particular MOOC entails and, in turn, what value its certificate gives.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234379,2020 IEEE Learning With MOOCS (LWMOOCS),,,,,
IEEE,IEEE Conferences,A. A. Economides; M. A. Perifanou,MOOC affordances model,2018,"Although there is a great interest on MOOCs, it is not clear what a MOOC should provide to learners enabling them to achieve their objectives. This paper proposes the MOOC Affordances Model (MOOC-AM) for characterizing a MOOC. The MOOC-AM consists of eight dimensions of affordances: 1) Massiveness, 2) Openness, 3) Interaction, Communication, Cooperation & Collaboration, 4) Personalization & Adaptation, 5) Autonomy, Choice & Control, 6) Support, Scaffolding, Help, Facilitation, Assistance, Feedback & Recommendations, 7) Mobility & Ubiquity, and 8) Accreditation, Certification & Assessment. In order to illustrate the application of the MOOC-AM, MOOCs on Programming in Python were examined regarding the affordances they provide. The findings reveal that none MOOC excels in all eight affordances. Learners, educators, designers, developers, and policy makers could consider this MOOC-AM to make appropriate decisions.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363285,2018 IEEE Global Engineering Education Conference (EDUCON),,,,,
IEEE,IEEE Conferences,Q. Zheng; X. Zhang; L. Chen,Comments on the Development of MOOCs and the Design of Core Supporting Policy in China,2016,"The development of MOOCs in China has attracted the attention from the government to colleges and universities as well as the society, which is also the key of the sustainable development of MOOCs. In this study, through data investigation, we analyzed the general situation of MOOCs, and presents the overall state of the current MOOCs in China. Based on the data of 14 domestic MOOCs platforms with 1388 courses and a survey of 41 colleges and universities, this study analyzed the institutions of the course construction, the course set modes, the course application models, and also analyzed the problems such as course certificate and credits management. Finally, from the perspective of the quality assurance system, we designed the sustainable development of MOOCs in China.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7839485,2016 International Conference on Educational Innovation through Technology (EITT),,,,,
IEEE,IEEE Conferences,J. Zengru; D. Yaping,Discussion on the innovative mixed model of Automatic control experiment MOOC teaching,2019,"The online course is a new education platform, and its credits have been gradually accepted as college credit. China University Love Course Platform can provide course certificates. At present, universities encourage teachers to teach MOOC courses, which promotes both the internationalization of higher education and the innovation of traditional teaching. However, there are several issues with the current MOOC teaching. First, there is an unbalanced low proportion of laboratory courses; Second, the offered laboratory courses mainly focus on theory, leading to the lack of experimental design and other teaching links; Third, the lack of some practical trainings, such as practical experiments and remote experiments, reduces teaching effects; Fourth, MOOC belongs to the network teaching mode. It is difficult for students to complete the MOOC course if it is not combined with offline course management,. To solve these issues, this paper designed an experiment on automatic control theory, which is a mixed teaching mode, namely the MOOC laboratory teaching + auxiliary Web online teaching platform + off-line laboratory teaching and management. It enables the students to not only take online MOOC content, also manage and download the study materials remotely. We combine online education and offline experiment teaching, thereby providing students with a variety of learning modes.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8833051,2019 Chinese Control And Decision Conference (CCDC),,,,,
IEEE,IEEE Conferences,J. S. Cross; N. Keerativoranan; M. K. J. Carlon; Y. H. Tan; Z. Rakhimberdina; H. Mori,Improving MOOC quality using learning analytics and tools,2019,"Assessing the quality of MOOCs is an important issue for learners since learners are paying fees for accessing the content (e.g. graded assignments), certificates of completion and for course credit. One of the unique advantages of online courses is that all the content can be assessed and analyzed even before the courses are released using various learning analytical and natural language processing tools. However, to date there are few studies in the literature published on the analysis of MOOC content. Furthermore, MOOC providers expect the course developers to periodically revise their MOOCs. Various types of analysis that can be done on the course text, video transcripts and assessments such as readability, listenability, videolytics, and text analysis. By analyzing the course content before its release, the content can be adjusted to target various learners. Subsequently, the same techniques can be used to analyze the discussion board posts and post-course survey to identify areas in a course that need to be modified in to order to improve the course quality for subsequent release. In this paper natural language processing and MOOC analytics were applied to several MOOCs to identify areas for revision to enhance their quality.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939617,2019 IEEE Learning With MOOCS (LWMOOCS),,,,,
IEEE,IEEE Conferences,A. Jagetiya; R. K. Challa; G. Prashanthi,MOOCs: Education for All– On Going Development in India,2018,"It is evident, that the number of qualified teachers is less but the number of students willing to learn new technologies is increasing tremendously. Therefore, it is desired that alternative methods should be adopted to reduce the gap between the required number of qualified teachers and the actually available. As the technology is evolving rapidly, Massively Open Online Courses (MOOCs) appears to be an imminent concept which allows the students to use the IT infrastructure to learn while sitting at their home or workplace. MOOCs help the students to nurture problem-solving capabilities in them with the help of a plethora of online courses in diverse fields. Learners can choose courses of their interest and acquire a certificate of the same. This paper explores the concept and benefits of MOOCs in today's scenario, its advantages like freedom from geographic boundaries, flexibility, optimal cost, better educational outcomes. Further, this paper highlights challenges and limitations towards implementing MOOCs such as the dearth of infrastructure in developing countries, absence of proper assessment method, invalidity of such courses in conventional degree level programs, lack of practical sessions, and dropout rate. Significant developments in the field of MOOCs are ongoing in India under the banner of Ministry of Human Resource Development's project SWAYAM (Study Webs of Active-Learning for Young Aspiring Minds). Nature Journal survey has shown that India ranked second in the world to access MOOCs services. Indian Institute of Bombay and Indian Institute of Kharagpur started a program called T10KT (Train 10 Thousand (K) Teachers) to conduct large-scale teachers training and E-learning awareness program. This paper wraps up with some other developments implementing MOOCs in India with some pragmatic case studies.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8747144,"2018 IEEE 6th International Conference on MOOCs, Innovation and Technology in Education (MITE)",,,,,
IEEE,IEEE Conferences,R. Cabedo; E. Tovar; S. Martín; M. Llamas; M. Caeiro; O. Martínez; R. Strachan; M. Castro; S. Reisman,Who are Interested in Open Education? An Analysis of the Participants in the First MOOC of the IEEE Education Society,2018,"This paper performs a preliminary analysis of the first MOOC of the IEEE Education Society, an IEEE Free Online Course on Open Education and Open Educational Resources (OER) Repositories. The MOOC ""Foundations to Open Education and OERs repositories"" is based on providing a comprehensive understanding both of Open Education and OERs, as well as the way they are changing the educational environment. The selection of participants' features from the MOOCKnowledge data collection mainly focuses on socio-demographic issues, previous experiences with MOOCs, usefulness of the MOOC to the participants' professional, personal and academic spheres, and types of student interaction. The preliminary results show that additional efforts are needed in order to boost the enrolment of both females and people with low level of completed studies, as well as increasing the level of awareness regarding certification. The results also reveal a positive impact of the course on the participants' professional and personal spheres. Finally, the most relevant interaction for them is the learner-content interaction. On the basis of these results it can be concluded that this MOOC offers an opportunity for practitioners to take advantage of the Open Education philosophy and its subsequent application to their everyday educational environment.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377876,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),,,,,
IEEE,IEEE Conferences,G. Psathas; P. Chalki; S. Demetriadis; A. Tsiara,Profiles and Motivations of Participants in Greek MOOC for Python Programming,2018,"This paper presents data about learners' preferences, background and learning behavior in “Introduction to programming with Python” MOOC, offered in Autumn 2017. After the 6-week duration of the course, data collected through questionnaire and the MOOC's platform log files. The results showed that learners taking part in such MOOCs hold at least a Bachelor's or a Master's degree, and their age is between 26 and 45. The course's certificate acts as a motivational factor for learners to finish the course, and also as participation in activities forecast. It has also been observed that the most prominent reason for learners to participate in the MOOC was their current or future working career development.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8534636,2018 Learning With MOOCS (LWMOOCS),,,,,
IEEE,IEEE Conferences,C. Isidro; R. M. Carro; A. Ortigosa,Dropout Detection in MOOCs: An Exploratory Analysis,2018,"The presence of MOOCs has increased exponentially in the context of distance education. However, many students who enroll in this type of courses drop out before completion. Several circumstances may cause dropout at any stage of the course and, in any case, before getting the certificate. Some students are not able to follow the course, others fail in the exams and leave, others only aim at getting a general overview of the course contents, others take all the activities but the final test, because of being interested in gaining knowledge but not in obtaining the certificate, etc. For this reason, it is interesting to analyze and understand the behavior of each student while interacting with the course. In this direction, the goal of this work is to predict whether a student will abandon a MOOC before completing it, so that it is possible to intervene accordingly, by warning the teacher about the dropout risk, notifying the student about this risk, etc. Different machine learning techniques have been tested with real data of a MOOC supported by EdX at UAM. In this article, the results of the work carried out in this direction are presented.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8586748,2018 International Symposium on Computers in Education (SIIE),,,,,
IEEE,IEEE Conferences,S. Miranda; G. R. Mangione; F. Orciuoli; M. Gaeta; V. Loia,Automatic generation of assessment objects and Remedial Works for MOOCs,2013,"In the MOOC environments, the students feel to be alone in the process of choosing courses leading to their learning needs and work objectives. They perceive also to be controllers of their progresses with respect to calendars, fruition, assessment results. Students come into the MOOC environments to develop or enhance professional competences, to earn formative credits and to achieve certifications to get more employment opportunities, but the statistics underline high level of drop-out and few released useful credits and final certifications. These problems are mainly related to the difficulty to guarantee the “teaching presence” in courses with thousands of learners having different background and to the ineffective assessment methods for a meaningful learning process looking at the objectives and giving feedbacks for individual learning paths construction. The work, in particular, exploits the adaptation and personalization features of IWT platform in order to provide ARWE (Adaptive Remedial Work Environment) in order to fill the lack of a one-to-one tutoring mitigating the drop-out problem in MOOCs. The main original contribution of this work concerns the definition of an approach to automatically generate quizzes, exploiting a semantic-based method, in order to populate the e-Testing tool existing in ARWE, decreasing, de facto, the effort for instructors in the assessment authoring phase.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671018,2013 12th International Conference on Information Technology Based Higher Education and Training (ITHET),,,,,
IEEE,IEEE Conferences,I. Simonics,Place and role of K-MOOC in Hungarian and Trans-border Education,2019,Our University established Carpathian Basin Online Educational Centre: K-MOOC - abbreviation is according to the Hungarian name: Kárpát-Medencei Online Oktatási Centrum - to start Hungarian language online courses for people living in Carpathian Basin and all over the World speaking Hungarian. K-MOOC provides online courses with credit points or Certificate for students of Hungarian speaking Higher Education Institutes (HEI) and Life Long Learning as well. Members of this Network are Hungarian or Trans-border Hungarian speaking HEIs. These equal members are elaborating online eLearning courses as a free of charge service and their students can join this courses provided by any member of Network. The partner institutes recognize the credit points received by their students according to the European Credit Transfer System and rules accepted by partner HEIs. The paper summarizes the results and successful story of K-MOOC.,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725102,2019 IEEE Global Engineering Education Conference (EDUCON),,,,,
IEEE,IEEE Conferences,S. Nahhas; O. Bamasag; M. Khemakhem; N. Bajnaid,Leveraging Linked Data to Propel Competency-Based Education Based on Labour Skills,2019,"Recently, there is a debate on the credentials that is more important for the individuals; their education and certificates or their competences and skills. Competency-based education (CBE) is a paradigm that can combine the both benefits. Linked data technology has potentials that help education to be more oriented towards CBE by linking the education with competences fields such as labour. However, that needs the education courses to be updated according to labours' demands which require lifelong learning to make individuals kept up with the emerging competences and technologies. CBE and lifelong learning are related to open education such as OCWs, MOOCs and OERs; since MOOCs for example give the chance to learn from the industry leaders which is very effective for CBE and can be acquired anytime. Also, open education is more responsive to the emerging demands of labour. Based on that, traditional universities have a possibility to update their courses based on the CBE rather than starting from scratch. Therefore, making mutual integration between traditional and open education courses based on labours' competences can offer an opportunity to go towards CBE. In this paper we propose a novel approach to refine education courses to be more oriented towards CBE by this mutuality integration. Input to this approach is the course information and the output is lists of candidate competences concepts that a course designer can use to refine current courses' topics and learning outcomes based on labour skills. Also developing a new metrics is suggested based on conducting some statistics to measure the importance of the concept regarding the CBE and measure how much the whole course is related to the labour needs. Lastly, developing a bridged model based on the competences concepts to be as anchors is suggested to provide links to the related OERs and related courses from MOOCS/OCWs.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8769503,2019 2nd International Conference on Computer Applications & Information Security (ICCAIS),,,,,
IEEE,IEEE Conferences,P. Mareca; B. Bordel,"Students Profiles and their Behavior in MOOC Platforms, MIRIADAX Platform",2019,"Massive Online Open Courses (MOOC) have revolutionized the relation between higher education institutions and society. Through web platforms, universities and other institutions offer content and courses where any student can enroll. With this new approach, much knowledge that previously was only accessible to official students paying, in general, expensive fees, is now accessible to any citizen for free. In addition, institutions of higher education usually grant a certificate to students who passed the course. However, this divulgative and massive open approach also creates some distortions. In particular, the management of MOOC courses is a task of extreme complexity, due to the mixture of a large number of very different student profiles, and the combination of nonaligned interests. As a consequence, the dropout rate in these courses is higher than 70% in most courses. In any case, before proposing any solution, it is necessary to analyze and study the current situation in a systematic and scientific way. Therefore, this article describes an experience carried out jointly by professors from the Universidad Politécnica de Madrid (UPM, Spain) and the University of Tras os Montes e Alto Douro (Portugal), based on the creation and teaching of a MOOC course focused on domotics and Arduino technologies, accessible on the MiriadaX platform. This study focuses on the academic results obtained, and the different profiles of students that have been identified in the 2018 academic year.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8760696,2019 14th Iberian Conference on Information Systems and Technologies (CISTI),,,,,
IEEE,IEEE Conferences,L. Liu,English Teaching Model Research Based on Network MOOC,2016,"English teaching platform is established based on the MOOC with the focus on learning database construction for the non-English major students in colleges. The platform could be divided into five systems such as independent learning system, resource management system, teaching management system, evaluation feedback system and certification system. This model focused on study and online autonomous learning function. The experimental results prove the validity and feasibility of teaching model based on network MOOC. The proposed teaching model would help to enhance the students' learning enthusiasm and improve their English practical ability if it is applied in English teaching properly.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7825071,2016 International Conference on Smart City and Systems Engineering (ICSCSE),,,,,
IEEE,IEEE Conferences,R. Cardoso; M. Santos; H. Fernandes; V. Negîrneac; A. M. Santos,A MOOC with an e-lab remotely controlled experiment: student behaviour analysis,2019,"A careful analysis regarding the characteristics and behaviours of the participants enrolled in the MOOC ""Experimental Physics: Electromagnetism"" was performed. This MOOC Técnico course related to electromagnetism differs from the remaining courses because it includes a strong laboratorial component which challenges students to understand and analyse experimental data collected during the course. With the present analysis, we intended to study the participants' background, understand what they aim to achieve by enrolling the course and how the nature of its contents and activities affects their overall success. In more detail, we determined how the inclusion of activities such as hands-on experiments, operation of remote laboratories and open questions with peer review evaluations affect the dropout rates and the evaluations obtained by the students. This information is crucial to tailor the course to the student's needs, ultimately improving the course quality and the student's learning experience. To achieve this, data regarding the students characteristics and the number of active participants for the different course stages was collected. The results showed a large participation of people from outside the Técnico Lisboa (IST) community (enrolled students, teachers, researchers, staff, alumni) and a high variety of academic paths inside it. These also made clear that a considerable amount of the enrolled participants dropped out of the course as soon as the proposed tasks became more demanding. However, the remaining students continued committed and completed the following exercises, independently of their nature or complexity. These students were mostly able to complete the course with a good final evaluation and receive the final certificate.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8876472,2019 5th Experiment International Conference (exp.at'19),,,,,
IEEE,IEEE Conferences,X. Zhao; S. Shen,Research on Behavior Patterns of School Administrators in the MOOC of ICT Leadership,2019,"ICT leadership of the school administrators is an important factor which would affect the school ICT development. However, theoretical research on ICT leadership training has been not common. Based on MOOC platform, this paper designed an ICT leadership online course, and discussed the learning behavior patterns of administrators in the course of learning the course. Besides, the learning behavior data generated in the MOOC platform was analyzed by content analysis and lag sequence analysis. This study found that the behavior of learning course content was the main learning behavior of learners, but this behavior had no significant relationship with other behaviors. Learners could actively participate in discussion in the forum, but the interaction was largely for the purpose of getting good grades. Active learners were always able to participate in unit tests repeatedly, submitted homework on time and carried out peer reviews, so as to obtain the certificate.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9049595,2019 Twelfth International Conference on Ubi-Media Computing (Ubi-Media),,,,,
IEEE,IEEE Conferences,Ramneet; D. Gupta; M. Madhukar,Bibliometric Analysis of MOOC using Bibliometrix Package of R,2020,"As a growing academic approach, MOOCs have gained widespread attention through academic courses. There are many MOOC platforms available like Udemy, Udacity, Coursera, Swayam, Khan Academy and EdX. All these platforms provide free as well as paid courses. These types of certifications help in boosting the career of the learners. A strong recommendation system is the need of the day for these types of platforms that will guide learners in selecting the appropriate course according to their levels. In this paper, 1511 journal articles have been selected through the Scopus database from 2012 to 2020. This study uses a bibliometric analysis method to visualize the knowledge network analysis with the help of the Biblioshiny tool of R software.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9397952,2020 IEEE International Women in Engineering (WIE) Conference on Electrical and Computer Engineering (WIECON-ECE),,,,,
